index,name,
0.0,Outside-brain and WM,
16.0,RF_luxtaventricular,
17.0,RF_periventricular,
18.0,RF_deepWM,
19.0,RF_sub-juxtacortical,
31.0,RP_luxtaventricular,
32.0,RP_periventricular,
33.0,RP_deepWM,
34.0,RP_sub-juxtacortical,
91.0,RT_luxtaventricular,
92.0,RT_periventricular,
93.0,RT_deepWM,
94.0,RT_sub-juxtacortical,
46.0,RO_luxtaventricular,
47.0,RO_periventricular,
48.0,RO_deepWM,
49.0,RO_sub-juxtacortical,
11.0,LF_luxtaventricular,
12.0,LF_periventricular,
13.0,LF_deepWM,
14.0,LF_sub-juxtacortical,
26.0,LP_luxtaventricular,
27.0,LP_periventricular,
28.0,LP_deepWM,
29.0,LP_sub-juxtacortical,
101.0,LT_luxtaventricular,
102.0,LT_periventricular,
103.0,LT_deepWM,
104.0,LT_sub-juxtacortical,
41.0,LO_luxtaventricular,
42.0,LO_periventricular,
43.0,LO_deepWM,
44.0,LO_sub-juxtacortical,
86.0,Basal_luxtaventricular,
87.0,Basal_periventricular,
88.0,Basal_deepWM,
89.0,Basal_sub-juxtacortical,
76.0,CB_luxtaventricular,
77.0,CB_periventricular,
78.0,CB_deepWM,
79.0,CB_sub-juxtacortical,